S-00001,BW,S-00001-152,51,51,BW,Body Weight,117.9,g,117.9,117.9,g,,3,2018-10-11,3
S-00001,BW,S-00001-152,52,52,BW,Body Weight,121.2,g,121.2,121.2,g,,4,2018-10-12,4
S-00001,BW,S-00001-152,53,53,BW,Body Weight,124.5,g,124.5,124.5,g,,5,2018-10-13,5
S-00001,BW,S-00001-152,54,54,BW,Body Weight,127.8,g,127.8,127.8,g,,6,2018-10-14,6
S-00001,BW,S-00001-152,55,55,BW,Body Weight,129.8,g,129.8,129.8,g,,7,2018-10-15,7
S-00001,BW,S-00001-152,56,56,BW,Body Weight,133.5,g,133.5,133.5,g,,8,2018-10-16,8
S-00001,BW,S-00001-152,57,57,BW,Body Weight,136.4,g,136.4,136.4,g,,9,2018-10-17,9
S-00001,BW,S-00001-152,58,58,BW,Body Weight,139.1,g,139.1,139.1,g,,10,2018-10-18,10
S-00001,BW,S-00001-152,59,59,BW,Body Weight,138.4,g,138.4,138.4,g,,11,2018-10-19,11
S-00001,BW,S-00001-152,60,60,BW,Body Weight,144.0,g,144.0,144,g,,12,2018-10-20,12
S-00001,BW,S-00001-152,61,61,BW,Body Weight,148.6,g,148.6,148.6,g,,13,2018-10-21,13
S-00001,BW,S-00001-152,62,62,BW,Body Weight,151.5,g,151.5,151.5,g,,14,2018-10-22,14
S-00001,BW,S-00001-152,63,63,BW,Body Weight,150.1,g,150.1,150.1,g,,15,2018-10-23,15
S-00001,BW,S-00001-152,64,64,BW,Body Weight,153.6,g,153.6,153.6,g,,16,2018-10-24,16
S-00001,BW,S-00001-152,65,65,BW,Body Weight,155.5,g,155.5,155.5,g,,17,2018-10-25,17
S-00001,BW,S-00001-152,66,66,BW,Body Weight,160.9,g,160.9,160.9,g,,18,2018-10-26,18
S-00001,BW,S-00001-152,67,67,BW,Body Weight,158.7,g,158.7,158.7,g,,19,2018-10-27,19
S-00001,BW,S-00001-152,68,68,BW,Body Weight,164.9,g,164.9,164.9,g,,20,2018-10-28,20
S-00001,BW,S-00001-152,69,69,BW,Body Weight,165.6,g,165.6,165.6,g,,21,2018-10-29,21
S-00001,BW,S-00001-152,70,70,BW,Body Weight,169.3,g,169.3,169.3,g,,22,2018-10-30,22
S-00001,BW,S-00001-152,71,71,BW,Body Weight,168.8,g,168.8,168.8,g,,23,2018-10-31,23
S-00001,BW,S-00001-152,72,72,BW,Body Weight,173.1,g,173.1,173.1,g,,24,2018-11-01,24
S-00001,BW,S-00001-152,73,73,BW,Body Weight,176.5,g,176.5,176.5,g,,25,2018-11-02,25
S-00001,BW,S-00001-152,74,74,BW,Body Weight,174.3,g,174.3,174.3,g,,26,2018-11-03,26
S-00001,BW,S-00001-152,75,75,BW,Body Weight,178.5,g,178.5,178.5,g,,27,2018-11-04,27
S-00001,BW,S-00001-152,76,76,BW,Body Weight,180.9,g,180.9,180.9,g,,28,2018-11-05,28
S-00001,BW,S-00001-152,77,77,BW,Body Weight,182.5,g,182.5,182.5,g,,29,2018-11-06,29
S-00001,BW,S-00001-152,78,78,BW,Body Weight,184.7,g,184.7,184.7,g,,30,2018-11-07,30
S-00001,BW,S-00001-152,79,79,BW,Body Weight,182.1,g,182.1,182.1,g,,31,2018-11-08,31
S-00001,BW,S-00001-152,80,80,BW,Body Weight,186.5,g,186.5,186.5,g,,32,2018-11-09,32
S-00001,BW,S-00001-152,81,81,BW,Body Weight,189.6,g,189.6,189.6,g,,33,2018-11-10,33
S-00001,BW,S-00001-152,82,82,BW,Body Weight,191.0,g,191.0,191,g,,34,2018-11-11,34
S-00001,BW,S-00001-152,83,83,BW,Body Weight,188.5,g,188.5,188.5,g,,35,2018-11-12,35
S-00001,BW,S-00001-152,84,84,BW,Body Weight,193.7,g,193.7,193.7,g,,36,2018-11-13,36
S-00001,BW,S-00001-152,85,85,BW,Body Weight,195.1,g,195.1,195.1,g,,37,2018-11-14,37
S-00001,BW,S-00001-152,86,86,BW,Body Weight,199.3,g,199.3,199.3,g,,38,2018-11-15,38
S-00001,BW,S-00001-152,87,87,BW,Body Weight,195.3,g,195.3,195.3,g,,39,2018-11-16,39
S-00001,BW,S-00001-152,88,88,BW,Body Weight,199.7,g,199.7,199.7,g,,40,2018-11-17,40
S-00001,BW,S-00001-152,89,89,BW,Body Weight,201.5,g,201.5,201.5,g,,41,2018-11-18,41
S-00001,BW,S-00001-152,90,90,BW,Body Weight,201.8,g,201.8,201.8,g,,42,2018-11-19,42
S-00001,BW,S-00001-152,91,91,BW,Body Weight,195.8,g,195.8,195.8,g,,43,2018-11-20,43
S-00001,BW,S-00001-152,92,92,BW,Body Weight,198.4,g,198.4,198.4,g,,44,2018-11-21,44
S-00001,BW,S-00001-152,93,93,BW,Body Weight,203.9,g,203.9,203.9,g,,45,2018-11-22,45
S-00001,BW,S-00001-152,94,94,TERMBW,Terminal Body Weight,202.1,g,202.1,202.1,g,,46,2018-11-23,46
S-00001,BW,S-00001-153,95,95,BW,Body Weight,135.5,g,135.5,135.5,g,,-1,2018-10-08,-1
S-00001,BW,S-00001-153,96,96,BW,Body Weight,139.1,g,139.1,139.1,g,,1,2018-10-09,1
S-00001,BW,S-00001-153,97,97,BW,Body Weight,139.0,g,139.0,139,g,,2,2018-10-10,2
S-00001,BW,S-00001-153,98,98,BW,Body Weight,144.0,g,144.0,144,g,,3,2018-10-11,3
S-00001,BW,S-00001-153,99,99,BW,Body Weight,147.8,g,147.8,147.8,g,,4,2018-10-12,4
S-00001,BW,S-00001-153,100,100,BW,Body Weight,153.1,g,153.1,153.1,g,,5,2018-10-13,5
S-00001,BW,S-00001-153,101,101,BW,Body Weight,153.4,g,153.4,153.4,g,,6,2018-10-14,6
S-00001,BW,S-00001-153,102,102,BW,Body Weight,156.3,g,156.3,156.3,g,,7,2018-10-15,7
S-00001,BW,S-00001-153,103,103,BW,Body Weight,163.2,g,163.2,163.2,g,,8,2018-10-16,8
S-00001,BW,S-00001-153,104,104,BW,Body Weight,165.0,g,165.0,165,g,,9,2018-10-17,9
S-00001,BW,S-00001-153,105,105,BW,Body Weight,166.4,g,166.4,166.4,g,,10,2018-10-18,10
S-00001,BW,S-00001-153,106,106,BW,Body Weight,170.4,g,170.4,170.4,g,,11,2018-10-19,11
S-00001,BW,S-00001-153,107,107,BW,Body Weight,172.5,g,172.5,172.5,g,,12,2018-10-20,12
S-00001,BW,S-00001-153,108,108,BW,Body Weight,180.3,g,180.3,180.3,g,,13,2018-10-21,13
S-00001,BW,S-00001-153,109,109,BW,Body Weight,178.5,g,178.5,178.5,g,,14,2018-10-22,14
